tag_pairs,count
"['cs.MA', 'math.OC']",110
"['math.OC', 'stat.CO']",22
"['cs.DS', 'cs.LO']",39
"['cs.CE', 'q-fin.CP']",25
"['cs.DB', 'cs.LO']",53
"['cs.AI', 'q-fin.GN']",14
"['eess.SP', 'math.CO']",8
"['cond-mat.soft', 'q-bio.BM']",3
"['physics.chem-ph', 'physics.ins-det']",1
"['cs.CE', 'q-bio.PE']",3
"['cs.DM', 'q-bio.PE']",7
"['cs.SI', 'math-ph']",4
"['physics.optics', 'physics.pop-ph']",1
"['physics.atom-ph', 'physics.comp-ph']",1
"['cs.NE', 'physics.space-ph']",1
"['cond-mat.dis-nn', 'hep-ph']",1
"['cs.ET', 'math.DS']",2
"['nlin.AO', 'nlin.CG']",2
"['cs.LG', 'eess.SY']",1109
"['cs.CC', 'quant-ph']",189
"['math.PR', 'stat.ML']",174
"['cs.DS', 'q-bio.GN']",14
"['cs.HC', 'q-bio.NC']",51
"['eess.IV', 'math.ST']",3
"['cs.NE', 'q-bio.MN']",5
"['cs.CL', 'math.RA']",4
"['cs.CL', 'q-fin.CP']",11
"['cs.AR', 'cs.SE']",8
"['cs.CE', 'math.AP']",4
"['cs.CV', 'math.OC']",78
"['math.OA', 'quant-ph']",8
"['cs.AI', 'q-fin.TR']",17
"['cs.DM', 'physics.soc-ph']",7
"['cs.LG', 'q-fin.PR']",6
"['cs.IT', 'physics.data-an']",21
"['cs.DM', 'cs.SC']",5
"['cs.CG', 'stat.ML']",11
"['cs.CC', 'math.RT']",11
"['cs.CC', 'cs.SI']",6
"['cs.SE', 'physics.space-ph']",1
"['cond-mat.stat-mech', 'nlin.CG']",6
"['cond-mat.stat-mech', 'physics.app-ph']",4
"['cs.CL', 'hep-th']",3
"['cs.GR', 'cs.NI']",1
"['cs.IR', 'physics.app-ph']",1
"['math.ST', 'stat.OT']",1
"['math.SP', 'physics.flu-dyn']",1
"['cs.SC', 'math.ST']",2
"['astro-ph.HE', 'cs.AI']",4
"['math.FA', 'math.NA']",13
"['cs.AI', 'cs.SD']",433
"['cs.LO', 'cs.SE']",44
"['cs.AI', 'stat.ME']",175
"['cs.CY', 'math.OC']",17
"['cs.CG', 'cs.DC']",15
"['cs.DM', 'cs.LG']",73
"['cs.DS', 'econ.TH']",20
"['cs.AI', 'physics.acc-ph']",4
"['cs.AI', 'q-bio.SC']",2
"['q-bio.OT', 'stat.ML']",1
"['physics.ao-ph', 'physics.bio-ph']",1
"['nlin.CD', 'nlin.PS']",2
"['cs.MS', 'math.CA']",1
"['cs.CR', 'cs.LG']",2057
"['cs.CL', 'cs.DC']",30
"['cs.MA', 'q-bio.NC']",2
"['physics.data-an', 'physics.hist-ph']",1
"['cond-mat.stat-mech', 'physics.comp-ph']",21
"['cond-mat.other', 'cs.IR']",1
"['cs.MM', 'cs.SE']",2
"['cs.SI', 'physics.app-ph']",1
"['cond-mat.other', 'physics.optics']",1
"['cs.AI', 'cs.CG']",17
"['cond-mat.mes-hall', 'cs.CR']",1
"['eess.AS', 'physics.soc-ph']",1
"['math.ST', 'q-bio.NC']",3
"['math.HO', 'math.NT']",2
"['eess.SP', 'hep-ex']",1
"['cs.DC', 'econ.EM']",1
"['cs.DM', 'cs.HC']",3
"['cond-mat.quant-gas', 'cond-mat.supr-con']",1
"['cond-mat.dis-nn', 'q-bio.BM']",2
"['astro-ph.IM', 'stat.AP']",4
"['q-fin.RM', 'q-fin.ST']",5
"['cs.DC', 'cs.DM']",22
"['cs.HC', 'physics.soc-ph']",10
"['cs.CY', 'cs.IR']",92
"['cs.IT', 'cs.RO']",17
"['cond-mat.stat-mech', 'quant-ph']",33
"['q-bio.BM', 'quant-ph']",3
"['cs.SC', 'math.AT']",1
"['math.AC', 'math.AT']",2
"['cs.DS', 'q-bio.PE']",8
"['cs.CC', 'econ.TH']",4
"['math.FA', 'math.ST']",3
"['nlin.CD', 'stat.AP']",2
"['cs.FL', 'math.AT']",1
"['cs.IT', 'nlin.CG']",2
"['astro-ph.CO', 'astro-ph.EP']",3
"['cs.IT', 'cs.OH']",1
"['cs.CV', 'cs.SD']",256
"['eess.SY', 'stat.ME']",16
"['astro-ph.EP', 'cs.LG']",63
"['cs.CV', 'physics.ins-det']",10
"['math.DS', 'nlin.AO']",12
"['cond-mat.other', 'physics.soc-ph']",2
"['cs.IT', 'stat.CO']",7
"['cs.NE', 'physics.comp-ph']",9
"['math.DG', 'stat.ME']",2
"['cs.CL', 'math.NA']",3
"['cs.DB', 'q-bio.GN']",3
"['astro-ph.CO', 'stat.ML']",7
"['cs.CL', 'math.AT']",5
"['math.OC', 'q-bio.BM']",1
"['cs.CR', 'cs.IT']",196
"['cs.LG', 'cs.SC']",49
"['cs.CC', 'cs.LG']",98
"['cs.MM', 'cs.NI']",26
"['q-bio.BM', 'stat.ML']",21
"['cs.DC', 'cs.DL']",4
"['cond-mat.mes-hall', 'physics.app-ph']",3
"['cs.AR', 'cs.DB']",4
"['cond-mat.stat-mech', 'cs.RO']",4
"['cs.DC', 'eess.AS']",6
"['math.PR', 'stat.ME']",11
"['cs.DS', 'cs.PL']",8
"['cs.GT', 'math-ph']",1
"['math.CO', 'q-bio.NC']",1
"['physics.data-an', 'q-bio.MN']",1
"['math.DG', 'math.PR']",4
"['cs.DB', 'physics.soc-ph']",1
"['cs.CY', 'q-fin.RM']",2
"['cond-mat.dis-nn', 'stat.AP']",1
"['cs.CY', 'math.NA']",6
"['cs.CE', 'cs.CL']",29
"['cs.ET', 'cs.SE']",6
"['cs.AI', 'math.LO']",27
"['cs.CC', 'cs.GT']",48
"['cs.IT', 'cs.SI']",31
"['physics.soc-ph', 'q-bio.PE']",29
"['cs.AI', 'q-bio.QM']",154
"['physics.soc-ph', 'q-bio.QM']",5
"['eess.SY', 'stat.AP']",16
"['astro-ph.HE', 'gr-qc']",5
"['cs.CG', 'math.AG']",5
"['astro-ph.GA', 'astro-ph.SR']",7
"['math.KT', 'math.SG']",1
"['cs.FL', 'math.CT']",10
"['cs.LO', 'cs.MS']",4
"['q-fin.CP', 'q-fin.RM']",8
"['physics.app-ph', 'stat.ME']",1
"['cond-mat.stat-mech', 'stat.ML']",28
"['math.DG', 'math.GT']",1
"['math-ph', 'math.OA']",6
"['cs.PL', 'cs.SC']",7
"['cs.CE', 'math.PR']",5
"['eess.SY', 'physics.class-ph']",2
"['math.CO', 'math.LO']",29
"['math.NT', 'quant-ph']",1
"['cs.LO', 'math.ST']",6
"['math-ph', 'math.GR']",4
"['cond-mat.dis-nn', 'cs.CC']",6
"['cs.DC', 'hep-ex']",7
"['math.AC', 'math.CO']",8
"['math.AT', 'math.MG']",2
"['cs.IT', 'eess.IV']",40
"['physics.app-ph', 'physics.chem-ph']",5
"['cs.IT', 'stat.AP']",15
"['nlin.AO', 'physics.soc-ph']",35
"['eess.SP', 'physics.flu-dyn']",5
"['math.CO', 'math.RA']",6
